SchoolName,Location_Code,District,Zip,Economic_Need_Index,School_Income_Estimate,Minorities,Black_or_Hispanic,Percent Hispanic,White,Student_Attendance_Rate,Percent_of_Students_Chronically_Absent,Rigorous_Instruction,Collaborative_Teachers,Supportive_Environment,Effective_School_Leadership,Strong_Family-Community_Ties,Trust,Average_ELA_Proficiency,Average_Math_Proficiency,ELAPassRate,ELApass,ELAWhiteRate,MathTesters,Mathpass,Mathpassrate,MathWhitePass,ELA_limited_pass,ELA_eco_pass,Math_limited_pass,Math_eco_pass,Latitude,Longitude
P.S._184M_SHUANG_WEN,1M184,1,12,0.559,489.9,0.91,0.15,0.12,0.9,0.98,0.2,0.9,0.81,0.91,0.67,0.83,0.85,3.24,3.63,0.29,19,0.46,387,221,0.571,0.32,,0.661,0.77,0.719,40.711437,-73.985486
P.S._188_THE_ISLAND_SCHOOL,1M188,1,12,0.917,27881.59,0.96,0.93,0.64,0.4,0.91,0.37,1,1,0.99,0.99,0.92,0.99,2.17,2.32,0.11,3,,283,22,0.78,,,1,,0.99,40.71987,-73.977376
ORCHARD_COLLEGIATE_ACADEMY,1M292,1,12,0.832,,0.97,0.84,0.57,0.3,0.84,0.58,0.72,0.77,0.77,0.72,0.76,0.87,1.96,1.83,,,,2,,,,,,,,40.713343,-73.986069
"TECHNOLOGY,_ARTS,_AND_SCIENCES_STUDIO",1M31,1,13,0.791,,0.96,0.84,0.55,0.4,0.9,0.35,0.84,0.78,0.81,0.8,0.74,0.87,2.29,2,0.5,7,,138,4,0.29,,,0.571,,0.25,40.729892,-73.984231
THE_EAST_VILLAGE_COMMUNITY_SCHOOL,1M315,1,19,0.362,6376,0.45,0.29,0.21,0.55,0.95,0.11,0.9,0.93,0.94,0.93,0.97,0.96,2.86,3.2,0.141,12,0.5,84,35,0.417,0.6,,0.167,,0.114,40.727726,-73.978382
UNIVERSITY_NEIGHBORHOOD_MIDDLE_SCHOOL,1M332,1,12,0.771,,0.96,0.9,0.63,0.4,0.92,0.26,0.92,0.96,0.92,0.96,0.86,0.96,2.26,2.2,0.11,1,,95,5,0.53,,,0.2,0.4,,40.713343,-73.986069
THE_CHILDREN'S_WORKSHOP_SCHOOL,1M361,1,19,0.451,62519.57,0.62,0.49,0.39,0.38,0.93,0.23,0.97,0.97,0.97,0.96,0.93,0.94,2.89,2.99,0.224,17,0.529,76,21,0.276,0.571,,0.412,,0.286,40.727726,-73.978382
NEIGHBORHOOD_SCHOOL,1M363,1,19,0.43,5754.48,0.55,0.47,0.34,0.45,0.93,0.23,0.99,0.97,0.95,0.96,0.95,0.99,2.55,2.68,0.3,1,1,32,1,0.31,,,,,,40.724404,-73.98636
EARTH_SCHOOL,1M364,1,19,0.448,56787.2,0.63,0.48,0.35,0.37,0.94,0.15,0.96,0.99,0.96,0.98,0.96,0.98,3.1,3.8,0.29,9,0.444,43,14,0.326,0.643,,0.111,,0.71,40.723747,-73.981602
SCHOOL_FOR_GLOBAL_LEADERS,1M378,1,12,0.764,,0.98,0.81,0.58,0.2,0.92,0.27,0.79,0.87,0.82,0.77,0.76,0.88,2.34,2.48,0.58,13,,227,29,0.128,,,0.615,,0.655,40.720185,-73.985957
EAST_SIDE_COMMUNITY_SCHOOL,1M45,1,19,0.61,,0.88,0.74,0.53,0.12,0.97,0.5,0.92,0.95,0.92,0.96,0.88,0.95,2.82,2.9,0.9,19,0.421,24,33,0.162,0.364,,0.474,,0.394,40.729153,-73.982474
"NEW_EXPLORATIONS_INTO_SCIENCE,_TECHNOLOGY_AND_MATH_HIGH_SCHOOL",1M539,1,12,0.257,76833.96,0.58,0.2,0.11,0.42,0.97,0.3,0.81,0.73,0.85,0.55,0.81,0.74,3.83,4.3,0.622,44,0.48,579,476,0.822,0.52,,0.118,,0.99,40.7195,-73.979239
TOMPKINS_SQUARE_MIDDLE_SCHOOL,1M839,1,19,0.597,,0.8,0.53,0.37,0.2,0.96,0.7,0.9,0.89,0.88,0.86,0.83,0.94,2.92,3.1,0.23,54,0.259,249,45,0.181,0.267,,0.481,,0.511,40.723747,-73.981602
P.S._1_ALFRED_E._SMITH,2M1,2,138,0.769,32817.79,0.99,0.34,0.22,0.1,0.95,0.18,0.89,0.91,0.95,0.86,0.87,0.94,2.59,3.14,0.143,26,,185,71,0.384,,,0.692,0.113,0.62,40.712561,-73.997474
P.S._2_MEYER_LONDON,2M2,2,12,0.858,26114.78,0.99,0.13,0.09,0.1,0.98,0.6,0.93,0.86,0.94,0.76,0.83,0.89,2.75,3.24,0.96,32,,343,143,0.417,,0.31,0.313,0.133,0.182,40.712943,-73.991557
P.S._3_CHARRETTE_SCHOOL,2M3,2,114,0.176,13399.19,0.3,0.18,0.12,0.7,0.95,0.13,0.97,0.93,0.97,0.93,0.96,0.95,3.9,3.41,0.231,71,0.69,37,14,0.456,0.743,,0.56,0.7,0.93,40.732632,-74.005947
P.S._6_LILLIE_D._BLAKE,2M6,2,128,0.11,14427.13,0.25,0.09,0.07,0.75,0.96,0.5,0.87,0.9,0.95,0.87,0.92,0.9,3.4,3.71,0.427,15,0.753,355,28,0.586,0.736,,0.53,,0.53,40.777703,-73.960428
P.S._11_WILLIAM_T._HARRIS,2M11,2,111,0.293,98455.77,0.51,0.32,0.25,0.49,0.96,0.1,0.93,0.93,0.98,0.91,0.93,0.95,3.12,3.35,0.285,127,0.583,45,194,0.431,0.567,,0.12,0.21,0.113,40.744549,-74.000737
P.S._33_CHELSEA_PREP,2M33,2,11,0.43,8811.14,0.74,0.42,0.3,0.26,0.96,0.13,0.97,0.9,0.94,0.82,0.92,0.89,3.4,3.4,0.355,1,0.44,284,143,0.54,0.427,,0.18,,0.231,40.748945,-74.000243
P.S._4_AUGUSTUS_SAINT-GAUDENS,2M4,2,13,0.153,12421.46,0.36,0.16,0.13,0.64,0.96,0.7,0.97,0.94,0.99,0.91,0.96,0.96,3.39,3.65,0.471,129,0.69,279,149,0.534,0.698,,0.47,,0.67,40.735118,-73.981697
P.S._41_GREENWICH_VILLAGE,2M41,2,111,0.66,11599.89,0.31,0.11,0.1,0.69,0.97,0.2,0.95,0.96,0.98,0.92,0.95,0.98,3.44,3.7,0.412,135,0.748,327,173,0.529,0.699,,0.22,,0.6,40.735526,-73.999113
P.S._42_BENJAMIN_ALTMAN,2M42,2,12,0.785,NA,0.98,0.04,0.04,0.2,0.98,0.2,0.91,0.94,0.96,0.89,0.85,0.96,2.94,3.55,0.226,86,,387,216,0.558,,0.35,0.593,0.65,0.593,40.716136,-73.990841
P.S._51_ELIAS_HOWE,2M51,2,136,0.626,91149.35,0.8,0.55,0.42,0.2,0.94,0.15,0.9,0.95,0.97,0.91,0.89,0.97,2.55,2.83,0.116,16,0.188,14,32,0.229,0.94,,0.375,,0.344,40.761593,-73.99559
P.S._59_BEEKMAN_HILL_INTERNATIONAL,2M59,2,119,0.75,116235.64,0.41,0.15,0.13,0.59,0.96,0.6,0.87,0.87,0.95,0.76,0.94,0.89,3.24,3.62,0.349,97,0.66,282,147,0.521,0.639,,0.72,,0.12,40.759213,-73.966183
P.S._77_LOWER_LAB_SCHOOL,2M77,2,1128,0.69,15947.71,0.41,0.06,0.05,0.59,0.97,0.1,0.93,0.96,0.98,0.93,0.95,0.99,3.73,3.91,0.718,125,0.616,174,142,0.816,0.577,,,,,40.785014,-73.950031
P.S._89,2M89,2,1282,0.68,181382.6,0.38,0.16,0.14,0.62,0.96,0.6,0.95,0.94,0.98,0.9,0.93,0.97,3.23,3.71,0.399,61,0.574,157,86,0.548,0.65,,,,,40.716867,-74.013623
J.H.S._14_SIMON_BARUCH,2M14,2,11,0.522,,0.72,0.29,0.21,0.28,0.96,0.11,0.87,0.89,0.85,0.84,0.7,0.92,3.5,3.25,0.256,267,0.446,95,328,0.345,0.42,,0.356,0.9,0.396,40.735735,-73.980611
P.S._111_ADOLPH_S._OCHS,2M111,2,119,0.645,797.41,0.87,0.66,0.5,0.13,0.92,0.26,0.89,0.79,0.81,0.74,0.88,0.86,2.39,2.47,0.14,19,0.211,187,24,0.128,0.292,0.53,0.316,0.125,0.375,40.765834,-73.989602
EAST_SIDE_MIDDLE_SCHOOL,2M114,2,128,0.14,,0.34,0.12,0.09,0.66,0.98,0.2,0.92,0.96,0.92,0.94,0.82,0.96,3.66,3.94,0.629,271,0.638,431,339,0.787,0.643,,0.55,,0.59,40.780646,-73.947544
P.S._116_MARY_LINDLEY_MURRAY,2M116,2,116,0.37,96174.16,0.56,0.3,0.22,0.44,0.95,0.14,0.92,0.92,0.95,0.83,0.9,0.92,3.7,3.17,0.245,77,0.584,328,87,0.265,0.54,,0.117,0.69,0.161,40.744425,-73.977634
P.S._124_YUNG_WING,2M124,2,12,0.578,42493.71,0.99,0.03,0.03,0.1,0.98,0.2,0.83,0.77,0.94,0.65,0.8,0.85,3.1,3.55,0.243,95,,394,193,0.49,,,0.453,0.57,0.446,40.714426,-73.995526
P.S._126_JACOB_AUGUST_RIIS,2M126,2,138,0.728,38919.61,0.92,0.32,0.21,0.8,0.96,0.1,0.91,0.93,0.91,0.89,0.82,0.95,2.93,3.29,0.24,119,0.193,399,158,0.396,0.139,,0.54,0.32,0.532,40.710448,-73.997001
P.S._13_HERNANDO_DE_SOTO,2M13,2,113,0.616,59851.21,0.97,0.06,0.05,0.3,0.99,0.2,0.98,0.97,0.97,0.96,0.9,0.99,3.9,3.61,0.288,135,,472,261,0.553,,,0.4,0.15,0.433,40.718819,-73.998263
M.S._131,2M131,2,12,0.837,,1,0.22,0.14,,0.97,0.9,0.86,0.92,0.91,0.86,0.78,0.95,2.49,3.2,0.19,37,,374,87,0.233,,,0.459,0.218,0.69,40.716213,-73.993555
P.S._15,2M15,2,113,0.196,132795.44,0.45,0.19,0.14,0.55,0.95,0.5,0.95,0.9,0.96,0.9,0.95,0.97,3.37,3.43,0.44,33,0.667,76,43,0.566,0.628,,0.61,,0.7,40.718083,-74.010942
YORKVILLE_COMMUNITY_SCHOOL,2M151,2,1128,0.367,8169.71,0.53,0.41,0.27,0.47,0.94,0.16,0.96,0.96,0.93,0.9,0.92,0.95,2.83,3.2,0.273,73,0.699,275,16,0.385,0.679,,0.41,0.28,0.47,40.777924,-73.947316
P.S._158_BAYARD_TAYLOR,2M158,2,121,0.11,94194.68,0.29,0.14,0.1,0.71,0.96,0.8,0.96,0.87,0.96,0.8,0.89,0.89,3.49,3.74,0.419,126,0.73,36,165,0.539,0.764,,0.71,0.3,0.67,40.770203,-73.95073
J.H.S._167_ROBERT_F._WAGNER,2M167,2,121,0.36,,0.58,0.27,0.19,0.42,0.96,0.9,0.85,0.89,0.87,0.84,0.76,0.92,3.8,3.34,0.288,36,0.522,1165,492,0.422,0.478,0.3,0.272,0.28,0.352,40.771827,-73.95794
YORKVILLE_EAST_MIDDLE_SCHOOL,2M177,2,175,0.271,,0.58,0.4,0.3,0.42,0.96,0.9,0.99,0.99,0.88,0.99,0.92,0.98,3.13,3.59,0.229,3,0.467,13,5,0.385,0.48,,0.67,,0.16,40.770203,-73.95073
P.S._183_ROBERT_L._STEVENSON,2M183,2,121,0.74,147.89,0.34,0.14,0.1,0.66,0.96,0.7,0.85,0.94,0.94,0.88,0.93,0.95,3.26,3.39,0.329,82,0.61,258,129,0.5,0.651,,0.24,0.31,0.54,40.763762,-73.957759
P.S._198_ISADOR_E._IDA_STRAUS,2M198,2,1128,0.365,81932.76,0.55,0.37,0.27,0.45,0.94,0.19,0.89,0.9,0.86,0.78,0.95,0.93,2.73,2.97,0.245,56,0.571,23,96,0.417,0.542,,0.161,,0.188,40.785014,-73.950031
P.S._212_MIDTOWN_WEST,2M212,2,136,0.2,85295.72,0.52,0.29,0.23,0.48,0.96,0.5,0.93,0.98,0.97,0.97,0.97,0.99,3.14,3.45,0.31,49,0.449,158,63,0.399,0.476,,0.163,,0.111,40.761329,-73.988669
P.S./I.S._217_ROOSEVELT_ISLAND,2M217,2,144,0.293,93388.6,0.64,0.3,0.14,0.36,0.95,0.1,0.93,0.95,0.89,0.88,0.89,0.92,2.9,3.1,0.167,4,0.45,25,74,0.296,0.459,,0.3,0.27,0.351,40.763969,-73.948468
ELLA_BAKER_SCHOOL,2M225,2,121,0.429,5896.58,0.65,0.56,0.37,0.35,0.92,0.26,0.91,0.91,0.93,0.82,0.95,0.9,2.71,2.75,0.17,9,,81,7,0.86,,,0.111,,0.286,40.765368,-73.959696
P.S._234_INDEPENDENCE_SCHOOL,2M234,2,17,0.65,176793.4,0.3,0.1,0.08,0.7,0.96,0.6,0.92,0.9,0.97,0.76,0.94,0.87,3.25,3.55,0.337,11,0.752,3,125,0.417,0.736,,0.1,,,40.716096,-74.011765
M.S._255_SALK_SCHOOL_OF_SCIENCE,2M255,2,13,0.131,,0.37,0.13,0.09,0.63,0.97,0.5,0.93,0.97,0.95,0.96,0.88,0.98,3.75,3.63,0.67,224,0.594,325,216,0.665,0.579,,0.94,,0.79,40.735118,-73.981697
M.S._26_CLINTON_SCHOOL_WRITERS_&_ARTISTS,2M26,2,13,0.236,,0.35,0.16,0.1,0.65,0.97,0.2,0.91,0.9,0.9,0.87,0.87,0.95,3.37,3.36,0.372,96,0.78,229,84,0.367,0.714,,0.52,,0.6,40.736114,-73.992352
"EAST_SIDE_ELEMENTARY_SCHOOL,_PS_267",2M267,2,165,0.49,115262.92,0.22,0.09,0.07,0.78,0.96,0.7,0.94,0.96,0.95,0.9,0.91,0.91,3.13,3.32,0.375,48,0.813,129,56,0.434,0.786,,0.21,,0.36,40.763854,-73.963813
BATTERY_PARK_CITY_SCHOOL,2M276,2,111,0.114,1485.12,0.44,0.15,0.11,0.56,0.96,0.8,0.92,0.94,0.88,0.92,0.9,0.93,3.16,3.32,0.318,177,0.542,533,194,0.364,0.469,,0.4,0.1,0.41,40.706563,-74.017528
I.S._289,2M289,2,1282,0.313,,0.62,0.21,0.13,0.38,0.97,0.2,0.91,0.97,0.82,0.95,0.84,0.93,3.18,3.26,0.266,73,0.425,273,88,0.322,0.295,,0.356,,0.523,40.716867,-74.013623
P.S._29_MANHATTAN_NEW_SCHOOL,2M29,2,128,0.64,17878.64,0.27,0.1,0.09,0.73,0.96,0.6,0.92,0.96,0.97,0.92,0.93,0.97,3.37,3.75,0.365,11,0.861,283,147,0.519,0.769,,0.4,,0.34,40.775137,-73.952812
NEW_YORK_CITY_LAB_MIDDLE_SCHOOL_FOR_COLLABORATIVE_STUDIES,2M312,2,111,0.38,,0.66,0.1,0.07,0.34,0.98,0.2,0.88,0.91,0.9,0.83,0.85,0.92,3.62,3.94,0.536,285,0.326,43,3,0.744,0.323,,0.288,,0.3,40.742571,-74.002371
THE_PECK_SLIP_SCHOOL,2M343,2,138,,118322.46,0.41,0.16,0.13,0.59,,,,,,,,,,,0.24,1,1,42,13,0.31,0.538,,,,,40.708639,-74.001925
THE_47_AMERICAN_SIGN_LANGUAGE_&_ENGLISH_LOWER_SCHOOL,2M347,2,11,0.812,51287.22,0.77,0.68,0.46,0.23,0.92,0.29,0.82,0.68,0.91,0.53,0.82,0.82,2.32,2.23,,,,27,1,0.37,,,,,,40.738621,-73.981534
SPRUCE_STREET_SCHOOL,2M397,2,118,0.59,143926.53,0.42,0.15,0.12,0.58,0.96,0.6,0.97,0.93,0.97,0.93,0.94,0.95,3.29,3.58,0.299,6,0.6,198,97,0.49,0.536,,0.67,,0.82,40.711057,-74.005361
INSTITUTE_FOR_COLLABORATIVE_EDUCATION,2M47,2,13,0.258,,0.45,0.32,0.16,0.55,0.96,0.13,0.94,0.98,0.9,0.98,0.89,0.96,3.28,2.95,0.28,7,0.429,2,4,0.2,,,,,,40.732676,-73.982576
PROFESSIONAL_PERFORMING_ARTS_HIGH_SCHOOL,2M48,2,136,0.33,,0.56,0.43,0.2,0.44,0.96,0.9,0.9,0.86,0.84,0.85,0.75,0.91,3.44,3.38,0.463,31,0.516,56,23,0.411,0.478,,0.32,,,40.761329,-73.988669
SCHOOL_OF_THE_FUTURE_HIGH_SCHOOL,2M413,2,11,0.358,,0.63,0.4,0.29,0.37,0.97,0.6,0.88,0.96,0.88,0.91,0.76,0.92,3.5,3.21,0.34,76,0.421,251,89,0.355,0.427,,0.289,,0.281,40.739095,-73.985349
QUEST_TO_LEARN,2M422,2,111,0.46,,0.71,0.54,0.35,0.29,0.95,0.11,0.83,0.79,0.82,0.74,0.8,0.86,2.94,2.76,0.97,25,0.44,224,19,0.85,0.368,,0.8,,0.316,40.743368,-74.002547
"BALLET_TECH,_NYC_PUBLIC_SCHOOL_FOR_DANCE",2M442,2,13,0.468,5695.12,0.81,0.41,0.16,0.19,0.96,0.7,0.98,0.98,0.92,0.94,0.84,0.95,3.21,3.65,0.394,56,0.17,12,54,0.45,0.148,,0.446,,0.47,40.73854,-73.989485
P.S._527_-_EAST_SIDE_SCHOOL_FOR_SOCIAL_ACTION,2M527,2,1128,,87424.6,0.41,0.21,0.19,0.59,,,,,,,,,,,0.239,11,0.545,47,3,0.638,0.533,,,,0.167,40.78058,-73.94791
LIFE_SCIENCES_SECONDARY_SCHOOL,2M655,2,1128,0.765,,0.98,0.91,0.6,0.2,0.9,0.3,0.9,0.9,0.77,0.67,0.65,0.81,2.24,1.95,0.18,1,,58,1,0.17,,,1,,1,40.783283,-73.945937
LOWER_MANHATTAN_COMMUNITY_MIDDLE_SCHOOL,2M896,2,14,0.564,,0.73,0.29,0.2,0.27,0.96,0.8,0.84,0.93,0.9,0.95,0.85,0.96,2.77,2.88,0.154,5,0.48,32,9,0.281,0.322,,0.28,0.44,0.5,40.705442,-74.012888
CITY_KNOLL_MIDDLE_SCHOOL,2M933,2,11,0.613,,0.8,0.67,0.47,0.2,0.95,0.19,0.9,0.95,0.8,0.93,0.78,0.93,2.7,2.58,0.11,16,0.313,149,18,0.121,0.333,,0.688,0.111,0.611,40.753389,-73.997896
P.S._9_SARAH_ANDERSON,3M9,3,124,0.221,95312.63,0.41,0.26,0.21,0.59,0.96,0.6,1,0.95,0.99,0.91,0.9,0.96,3.38,3.66,0.377,13,0.689,275,164,0.596,0.671,,0.49,,0.11,40.785101,-73.973867
J.H.S._54_BOOKER_T._WASHINGTON,3M54,3,125,0.221,,0.36,0.2,0.12,0.64,0.96,0.5,0.85,0.83,0.87,0.8,0.84,0.9,3.46,3.7,0.479,374,0.722,577,373,0.646,0.713,,0.94,,0.97,40.800512,-73.962802
P.S._75_EMILY_DICKINSON,3M75,3,125,0.599,56614.57,0.84,0.8,0.56,0.16,0.94,0.22,0.93,0.88,0.92,0.8,0.92,0.92,2.63,2.83,0.113,23,0.217,26,43,0.29,0.29,,0.391,0.23,0.488,40.79511,-73.973988
P.S._76_A._PHILIP_RANDOLPH,3M76,3,127,0.85,3951.13,0.97,0.96,0.16,0.3,0.9,0.42,0.91,0.95,0.93,0.89,0.89,0.96,2.39,2.24,0.42,11,,267,7,0.26,,,0.273,,0.143,40.806541,-73.951368
P.S._84_LILLIAN_WEBER,3M84,3,125,0.5,64633.18,0.62,0.55,0.42,0.38,0.95,0.14,0.92,0.94,0.97,0.81,0.89,0.93,2.76,3,0.149,3,0.567,26,56,0.272,0.571,,0.2,0.54,0.286,40.789382,-73.9681
P.S._87_WILLIAM_SHERMAN,3M87,3,124,0.99,111115.15,0.36,0.2,0.15,0.64,0.96,0.6,0.92,0.8,0.97,0.69,0.93,0.84,3.38,3.59,0.375,131,0.718,351,169,0.481,0.722,,0.46,,0.36,40.781788,-73.978008
"P.S._145,_THE_BLOOMINGDALE_SCHOOL",3M145,3,125,0.843,44727.39,0.93,0.88,0.63,0.7,0.91,0.35,0.91,0.85,0.89,0.76,0.82,0.84,2.12,2.16,0.15,2,,137,2,0.15,,,0.5,,0.5,40.79909,-73.965359
P.S._149_SOJOURNER_TRUTH,3M149,3,126,0.883,3711.83,0.98,0.92,0.27,0.2,0.91,0.37,0.83,0.7,0.77,0.6,0.81,0.82,2.1,2.3,0.7,1,,147,3,0.2,,,,,,40.802666,-73.948256
P.S._163_ALFRED_E._SMITH,3M163,3,125,0.53,64272.58,0.73,0.62,0.46,0.27,0.95,0.13,0.89,0.82,0.91,0.59,0.91,0.78,2.99,3.3,0.222,61,0.426,277,11,0.365,0.396,,0.23,,0.248,40.794945,-73.968535
P.S._165_ROBERT_E._SIMON,3M165,3,125,0.739,48783.74,0.87,0.82,0.68,0.13,0.91,0.29,0.87,0.82,0.87,0.73,0.86,0.85,2.37,2.41,0.85,37,0.189,444,56,0.126,0.214,,0.514,0.71,0.571,40.802678,-73.96595
P.S._166_THE_RICHARD_RODGERS_SCHOOL_OF_THE_ARTS_AND_TECHNOLOGY,3M166,3,124,0.217,98595.22,0.41,0.23,0.17,0.59,0.96,0.8,0.84,0.86,0.95,0.68,0.9,0.84,3.3,3.54,0.431,19,0.697,253,15,0.593,0.647,,0.55,,0.87,40.788883,-73.972455
P.S._18_HUGO_NEWMAN,3M18,3,127,0.69,51468.6,0.92,0.87,0.3,0.8,0.94,0.19,0.86,0.86,0.86,0.85,0.9,0.9,2.48,2.44,0.76,25,,333,25,0.75,,,0.64,,0.52,40.807609,-73.955839
P.S._191_AMSTERDAM,3M191,3,123,0.758,63947.38,0.89,0.81,0.45,0.11,0.91,0.33,0.82,0.79,0.82,0.7,0.88,0.88,2.23,2.1,0.33,6,,174,5,0.29,,,,,,40.771743,-73.987572
P.S._199_JESSIE_ISADOR_STRAUS,3M199,3,123,0.78,115897.33,0.37,0.15,0.13,0.63,0.96,0.5,0.94,0.93,0.99,0.9,0.94,0.95,3.36,3.68,0.381,152,0.645,43,247,0.613,0.656,,0.13,,0.24,40.777766,-73.984736
P.S._28_ALAIN_L._LOCKE,3M28,3,126,0.875,3321.85,0.99,0.95,0.34,0.1,0.93,0.26,0.88,0.9,0.82,0.81,0.85,0.91,2.25,2.24,0.8,1,,125,7,0.56,,,,,,40.798341,-73.950453
STEM_INSTITUTE_OF_MANHATTAN,3M241,3,126,0.849,44126.71,0.96,0.91,0.38,0.4,0.91,0.33,,0.94,0.91,0.95,0.88,0.94,1.97,1.93,0.23,1,,49,1,0.2,,,,,,40.801651,-73.955295
P.S._242_-_THE_YOUNG_DIPLOMATS_MAGNET_ACADEMY,3M242,3,127,0.886,38655.2,0.98,0.94,0.29,0.2,0.9,0.37,0.96,0.76,0.82,0.62,0.83,0.75,2.18,2.52,0.13,1,,8,4,0.5,,,1,,0.25,40.806174,-73.948335
M.S._243_CENTER_SCHOOL,3M243,3,124,0.181,,0.39,0.27,0.12,0.61,0.98,,0.96,0.91,0.96,0.9,0.91,0.96,3.61,3.57,0.498,18,0.657,168,63,0.375,0.714,,0.37,,0.16,40.785101,-73.973867
M.S._M245_THE_COMPUTER_SCHOOL,3M245,3,124,0.34,,0.5,0.4,0.26,0.5,0.97,0.6,0.9,0.92,0.91,0.85,0.86,0.95,3.17,3.14,0.317,114,0.579,277,82,0.296,0.61,,0.158,,0.159,40.781081,-73.978085
M.S._M247_DUAL_LANGUAGE_MIDDLE_SCHOOL,3M247,3,125,0.82,,0.99,0.99,0.99,0.1,0.96,0.7,0.89,0.93,0.92,0.88,0.88,0.95,2.51,2.64,0.8,13,,177,19,0.17,,,0.154,0.53,0.474,40.789382,-73.9681
M.S._25_WEST_SIDE_COLLABORATIVE_MIDDLE_SCHOOL,3M25,3,125,0.661,,0.91,0.87,0.55,0.9,0.94,0.18,0.91,0.98,0.91,0.97,0.82,0.96,2.61,2.44,0.75,12,,159,6,0.38,,,0.583,,0.5,40.79511,-73.973988
M.S._256_ACADEMIC_&_ATHLETIC_EXCELLENCE,3M256,3,125,0.778,,0.93,0.88,0.38,0.7,0.88,0.38,0.83,0.89,0.8,0.87,0.83,0.91,2.27,2.1,0.53,6,,122,5,0.41,,,0.333,,0.6,40.791685,-73.97077
COMMUNITY_ACTION_SCHOOL_-_MS_258,3M258,3,125,0.73,,0.89,0.87,0.43,0.11,0.94,0.15,0.96,0.96,0.87,0.94,0.82,0.93,2.41,2.5,0.49,9,0.111,187,18,0.96,0.111,,0.667,,0.611,40.791685,-73.97077
WEST_END_SECONDARY_SCHOOL,3M291,3,123,,,0.37,0.27,0.18,0.63,,,,,,,,,,,0.291,37,0.784,127,54,0.425,0.759,,0.27,,0.37,40.772487,-73.988153
P.S._333_MANHATTAN_SCHOOL_FOR_CHILDREN,3M333,3,125,0.233,72112.72,0.38,0.27,0.17,0.62,0.95,0.9,0.93,0.87,0.88,0.79,0.94,0.91,3.9,3.3,0.286,18,0.731,351,97,0.276,0.742,,0.93,,0.52,40.791685,-73.97077
